state,area_name,all_poverty,m_poverty,f_poverty,FIPS,med_income,med_income_white,med_income_black,med_income_nat_am,med_income_asian,hispanic,m_with_insur,m_without_insur,f_with_insur,f_without_insur,all_with_insur,all_without_insur,incidence_rate,avg_ann_incidence,mortality_rate,avg_ann_deaths,recent_trend,popestimate2015,state.y,Mortality_Rate_num,Incidence_Rate_num
AK,"Anchorage Municipality, Alaska",23914,10698,13216,02020,78326,87235,50535,53935,63757,53926,120747,23245,122426,21393,243173,44638,61.5,131,47.3,96,falling,298695,2,47.3,61.5
AK,"Bethel Census Area, Alaska",4364,2199,2165,02050,51012,92647,73661,41594,110625,160114,6396,2708,6627,1774,13023,4482,62.7,6,58.3,5,**,17946,2,58.3,62.7
AK,"Fairbanks North Star Borough, Alaska",7752,3523,4229,02090,71068,74242,56353,48333,56339,55284,40605,6957,40210,5322,80815,12279,58.1,36,54,31,stable,99631,2,54,58.1
AK,"Juneau City and Borough, Alaska",2110,1145,965,02110,85746,90553,106964,57821,80893,76083,13739,2433,13582,2213,27321,4646,35.1,9,34.4,8,falling,32756,2,34.4,35.1
AK,"Kenai Peninsula Borough, Alaska",5558,2596,2962,02122,63684,64663,122660,46458,58125,64148,22391,6435,21668,5433,44059,11868,64.9,39,50.1,28,falling,58059,2,50.1,64.9
AK,"Ketchikan Gateway Borough, Alaska",1640,792,848,02130,64222,73313,NA,45536,45859,83250,5339,1428,5527,1082,10866,2510,88.3,12,70.8,9,**,13709,2,70.8,88.3
AK,"Kodiak Island Borough, Alaska",1552,962,590,02150,70887,82857,26827,48179,56585,87000,4941,1920,4943,1479,9884,3399,74.7,7,76.2,6,**,13889,2,76.2,74.7
AK,"Matanuska-Susitna Borough, Alaska",9454,4346,5108,02170,72983,74141,55577,56724,53789,77367,39282,9314,37751,8084,77033,17398,69.7,51,53.9,37,stable,101095,2,53.9,69.7
AK,"Nome Census Area, Alaska",2592,1399,1193,02180,48868,85455,NA,37277,78056,86607,3506,1605,3430,1114,6936,2719,103.6,6,96.1,6,**,9846,2,96.1,103.6
AK,"North Slope Borough, Alaska",976,532,444,02185,72576,86250,107500,59554,126964,88563,4847,1248,2579,910,7426,2158,153.4,6,124.9,5,**,9687,2,124.9,153.4
