M_With,M_Without,F_With,F_Without,All_With,All_Without,FIPS
876,1317,566,540,1442,1857,02013
2470,769,1707,564,4177,1333,02016
120747,23245,122426,21393,243173,44638,02020
6396,2708,6627,1774,13023,4482,02050
419,124,349,67,768,191,02060
822,253,674,250,1496,503,02068
1678,900,1837,546,3515,1446,02070
40605,6957,40210,5322,80815,12279,02090
960,422,944,228,1904,650,02100
798,328,711,288,1509,616,02105
13739,2433,13582,2213,27321,4646,02110
22391,6435,21668,5433,44059,11868,02122
5339,1428,5527,1082,10866,2510,02130
4941,1920,4943,1479,9884,3399,02150
2762,1427,2921,791,5683,2218,02158
445,286,513,230,958,516,02164
39282,9314,37751,8084,77033,17398,02170
3506,1605,3430,1114,6936,2719,02180
4847,1248,2579,910,7426,2158,02185
2690,1455,2542,1021,5232,2476,02188
1310,381,1193,320,2503,701,02195
2209,1252,2046,862,4255,2114,02198
3635,841,3591,692,7226,1533,02220
380,147,371,101,751,248,02230
2889,853,2454,666,5343,1519,02240
3670,1292,3566,884,7236,2176,02261
941,280,926,221,1867,501,02275
289,78,217,59,506,137,02282
1795,1225,1692,907,3487,2132,02290
23500,2781,25417,2727,48917,5508,01001
79768,13644,88015,11343,167783,24987,01003
9578,2163,10750,1569,20328,3732,01005
9342,1012,9421,995,18763,2007,01007
24629,3642,25922,3017,50551,6659,01009
4088,1066,4191,762,8279,1828,01011
8129,1223,9482,1236,17611,2459,01013
47992,7440,53518,6245,101510,13685,01015
13928,2198,15131,2476,29059,4674,01017
11401,1404,11730,1137,23131,2541,01019
18164,3252,18371,3712,36535,6964,01021
5384,934,6098,850,11482,1784,01023
9881,1825,11159,1934,21040,3759,01025
5518,1022,5839,886,11357,1908,01027
6234,1017,6582,1013,12816,2030,01029
20688,2891,22567,2783,43255,5674,01031
23057,3007,24955,3003,48012,6010,01033
4925,1217,5227,1449,10152,2666,01035
4474,866,4605,805,9079,1671,01037
15536,2520,16877,2437,32413,4957,01039
5847,939,6229,748,12076,1687,01041
33641,6024,34557,5978,68198,12002,01043
19228,3179,21602,3161,40830,6340,01045
16398,2891,19599,2951,35997,5842,01047
28735,6363,29767,5509,58502,11872,01049
31679,3669,36728,3425,68407,7094,01051
14055,3261,14958,3333,29013,6594,01053
42271,7457,46984,6023,89255,13480,01055
7557,832,7568,751,15125,1583,01057
12966,2200,13441,2767,26407,4967,01059
10913,2091,11495,1977,22408,4068,01061
3304,777,4081,484,7385,1261,01063
6051,997,7096,854,13147,1851,01065
7002,1164,7934,926,14936,2090,01067
42001,6928,47530,6187,89531,13115,01069
21752,4072,23118,3424,44870,7496,01071
266456,40710,307962,36469,574418,77179,01073
5876,885,6248,980,12124,1865,01075
