county,fips,Incidence_Rate,Avg_Ann_Incidence
"US (SEER+NPCR)(1,10)",00000,62.4,214614
"Autauga County, Alabama(6,10)",01001,74.9,43
"Baldwin County, Alabama(6,10)",01003,66.9,170
"Barbour County, Alabama(6,10)",01005,74.6,25
"Bibb County, Alabama(6,10)",01007,86.4,23
"Blount County, Alabama(6,10)",01009,69.7,51
"Bullock County, Alabama(6,10)",01011,65.8,9
"Butler County, Alabama(6,10)",01013,58.3,17
"Calhoun County, Alabama(6,10)",01015,84.2,120
"Chambers County, Alabama(6,10)",01017,75.4,34
"Cherokee County, Alabama(6,10)",01019,82.4,32
"Chilton County, Alabama(6,10)",01021,73.9,39
"Choctaw County, Alabama(6,10)",01023,49.2,10
"Clarke County, Alabama(6,10)",01025,69.5,23
"Clay County, Alabama(6,10)",01027,83.3,16
"Tuscaloosa County, Alabama(6,10)",01125,72.3,135
"Walker County, Alabama(6,10)",01127,98.3,89
"Washington County, Alabama(6,10)",01129,74.8,16
"Wilcox County, Alabama(6,10)",01131,73.2,11
"Winston County, Alabama(6,10)",01133,90.8,31
"Aleutians East Borough, Alaska(6,10)",02013,*,3 or fewer
"Aleutians West Census Area, Alaska(6,10)",02016,*,3 or fewer
"Anchorage Borough, Alaska(6,10)",02020,61.5,131
"Bethel Census Area, Alaska(6,10)",02050,62.7,6
"Bristol Bay Borough, Alaska(6,10)",02060,*,3 or fewer
"Denali, Alaska(6,10)",02068,*,3 or fewer
"Dillingham Census Area, Alaska(6,10)",02070,*,3 or fewer
"Fairbanks North Star, Alaska(6,10)",02090,58.1,36
"Haines Borough, Alaska(6,10)",02100,*,3 or fewer
"Juneau Borough, Alaska(6,10)",02110,35.1,9
"Kenai Peninsula Borough, Alaska(6,10)",02122,64.9,39
"Ketchikan Gateway Borough, Alaska(6,10)",02130,88.3,12
"Kodiak Island Borough, Alaska(6,10)",02150,74.7,7
"Lake and Peninsula Borough, Alaska(6,10)",02164,*,3 or fewer
"Matanuska-Susitna Borough, Alaska(6,10)",02170,69.7,51
"Nome Census Area, Alaska(6,10)",02180,103.6,6
"North Slope Borough, Alaska(6,10)",02185,153.4,6
"Northwest Arctic Borough, Alaska(6,10)",02188,67.6,3
"Prince of Wales-Outer Ketchikan, Alaska(6,10)",02201,81.4,4
"Sitka Borough, Alaska(6,10)",02220,44,4
"Skagway Hoonah Angoon Census Area, Alaska(6,10)",02232,*,3 or fewer
"Southeast Fairbanks Census Area, Alaska(6,10)",02240,76.8,5
"Valdez-Cordova Census Area, Alaska(6,10)",02261,66.1,6
"Wade Hampton Census Area, Alaska(6,10)",02270,*,3 or fewer
"Wrangell-Petersburg Census Area, Alaska(6,10)",02280,78.8,6
"Yakutat City and Borough, Alaska(6,10)",02282,*,3 or fewer
"Yukon-Koyukuk Census Area, Alaska(6,10)",02290,58.3,3
"Apache County, Arizona(6,10)",04001,22.9,16
"Cochise County, Arizona(6,10)",04003,46.9,84
"Coconino County, Arizona(6,10)",04005,36.7,39
"Gila County, Arizona(6,10)",04007,54.3,52
"Graham County, Arizona(6,10)",04009,45.5,16
