Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,FIPS
61518.0,72639.0,31250.0,54750.0,62679.0,51250.0,02013
84306.0,97321.0,93750.0,48750.0,81250.0,77500.0,02016
78326.0,87235.0,50535.0,53935.0,63757.0,53926.0,02020
51012.0,92647.0,73661.0,41594.0,110625.0,160114.0,02050
79750.0,88000.0,,63333.0,,25625.0,02060
81544.0,81029.0,,47500.0,,,02068
54173.0,81161.0,,42212.0,,86458.0,02070
71068.0,74242.0,56353.0,48333.0,56339.0,55284.0,02090
58750.0,67888.0,,45714.0,,,02100
52419.0,64000.0,,35625.0,,68500.0,02105
85746.0,90553.0,106964.0,57821.0,80893.0,76083.0,02110
63684.0,64663.0,122660.0,46458.0,58125.0,64148.0,02122
64222.0,73313.0,,45536.0,45859.0,83250.0,02130
70887.0,82857.0,26827.0,48179.0,56585.0,87000.0,02150
38229.0,63750.0,,37238.0,155417.0,64167.0,02158
50781.0,72500.0,,38482.0,,,02164
72983.0,74141.0,55577.0,56724.0,53789.0,77367.0,02170
48868.0,85455.0,,37277.0,78056.0,86607.0,02180
72576.0,86250.0,107500.0,59554.0,126964.0,88563.0,02185
63648.0,99444.0,,52227.0,69375.0,,02188
67935.0,64813.0,,60417.0,61875.0,106250.0,02195
48523.0,53185.0,31250.0,42404.0,,,02198
70376.0,81029.0,143125.0,40625.0,75000.0,58333.0,02220
69318.0,72589.0,,43750.0,,54479.0,02230
62670.0,71349.0,51563.0,20774.0,33750.0,78750.0,02240
78810.0,82090.0,,45000.0,105417.0,,02261
48603.0,53295.0,,31250.0,51250.0,,02275
72500.0,76250.0,,45625.0,127188.0,,02282
38491.0,63000.0,,29750.0,76250.0,,02290
51281.0,56854.0,32073.0,,2499.0,61296.0,01001
50254.0,52594.0,26967.0,92670.0,36250.0,42468.0,01003
32964.0,45039.0,21171.0,,,27132.0,01005
38678.0,42263.0,27793.0,,,43750.0,01007
45813.0,46601.0,31507.0,61310.0,,35271.0,01009
31938.0,52930.0,24595.0,,,,01011
32229.0,42922.0,23453.0,,90833.0,,01013
41703.0,46399.0,26071.0,48409.0,,30575.0,01015
34177.0,42336.0,25442.0,,62417.0,,01017
36296.0,36679.0,32973.0,,11313.0,,01019
41627.0,43395.0,35189.0,83564.0,22981.0,28939.0,01021
33536.0,45321.0,21661.0,,,,01023
32011.0,41390.0,19650.0,,,2499.0,01025
35327.0,37166.0,30343.0,12679.0,,24914.0,01027
38056.0,38886.0,30335.0,,,17431.0,01029
46729.0,51998.0,26605.0,46607.0,39063.0,32372.0,01031
40576.0,44296.0,28778.0,,,30994.0,01033
24900.0,32746.0,17366.0,,,13365.0,01035
31212.0,42727.0,23473.0,,,,01037
36444.0,39636.0,21875.0,26389.0,33177.0,51131.0,01039
36022.0,42771.0,21614.0,55227.0,,72868.0,01041
38971.0,39378.0,33333.0,,,21888.0,01043
45028.0,49655.0,26807.0,43088.0,73636.0,25115.0,01045
27306.0,51431.0,20462.0,,49583.0,,01047
38192.0,38909.0,27629.0,,65114.0,27912.0,01049
53555.0,58246.0,34370.0,48563.0,49342.0,29038.0,01051
32330.0,39557.0,21925.0,32321.0,,,01053
39220.0,41841.0,24950.0,35387.0,120714.0,35795.0,01055
34680.0,36892.0,17270.0,,,30625.0,01057
35372.0,36562.0,27340.0,27529.0,,34308.0,01059
36024.0,37725.0,24296.0,34063.0,,35023.0,01061
20541.0,45136.0,17731.0,,,,01063
32714.0,47035.0,25127.0,,,34055.0,01065
41997.0,50725.0,22207.0,,,41477.0,01067
41571.0,48967.0,24982.0,35662.0,45000.0,34063.0,01069
37745.0,38158.0,20238.0,48947.0,,21840.0,01071
45610.0,60497.0,31867.0,35396.0,55052.0,34768.0,01073
35450.0,37267.0,19792.0,,,,01075
43125.0,45208.0,25992.0,22697.0,59750.0,36034.0,01077
40003.0,40061.0,30417.0,50372.0,28472.0,28482.0,01079
44570.0,50270.0,29991.0,,52870.0,40330.0,01081
49570.0,51636.0,38971.0,,,30285.0,01083
25876.0,56045.0,19510.0,,,,01085
30738.0,39335.0,28249.0,23750.0,,64271.0,01087
57993.0,66922.0,35950.0,49044.0,64365.0,43009.0,01089
32042.0,54205.0,20262.0,,,,01091
32299.0,32698.0,27727.0,70972.0,36010.0,35757.0,01093
38983.0,39540.0,25688.0,,93125.0,24069.0,01095
43809.0,53398.0,28066.0,42353.0,48063.0,40875.0,01097
27257.0,37849.0,17029.0,50536.0,,14554.0,01099
44369.0,61342.0,34180.0,61684.0,72083.0,39923.0,01101
45751.0,48739.0,25944.0,101364.0,62917.0,34331.0,01103
24537.0,43906.0,19336.0,,,,01105
30330.0,41392.0,18722.0,,,36833.0,01107
32825.0,44427.0,21852.0,47188.0,,30375.0,01109
36924.0,40027.0,28219.0,,,,01111
37049.0,44182.0,30005.0,21734.0,,67639.0,01113
51859.0,53010.0,42069.0,,107875.0,48042.0,01115
70187.0,72574.0,58780.0,61964.0,81713.0,40143.0,01117
19501.0,48636.0,15730.0,,70000.0,,01119
35155.0,40996.0,24692.0,28681.0,129936.0,33661.0,01121
39206.0,47741.0,23739.0,11216.0,,27911.0,01123
46565.0,55568.0,31879.0,37361.0,42649.0,39005.0,01125
35843.0,36618.0,24898.0,,,30725.0,01127
42811.0,44052.0,32361.0,53409.0,,39583.0,01129
23750.0,43516.0,18154.0,,,,01131
33194.0,33770.0,,22857.0,,28205.0,01133
36411.0,42928.0,26242.0,,,27125.0,05001
34263.0,41506.0,18810.0,,,31333.0,05003
35396.0,35458.0,,,,61667.0,05005
56239.0,55511.0,56509.0,44457.0,81290.0,43154.0,05007
39251.0,39736.0,,10170.0,69297.0,50404.0,05009
33701.0,42250.0,22500.0,,,26536.0,05011
36899.0,43032.0,27891.0,,,34750.0,05013
36897.0,37029.0,,,,35075.0,05015
28913.0,43224.0,20722.0,,,,05017
35031.0,39805.0,22136.0,,45938.0,35278.0,05019
32552.0,32251.0,,67143.0,,34779.0,05021
42905.0,43417.0,,57794.0,,21563.0,05023
43158.0,46296.0,21000.0,,,,05025
36619.0,50998.0,20254.0,11518.0,,21835.0,05027
37732.0,39860.0,30598.0,31875.0,,20431.0,05029
42475.0,45806.0,23202.0,25074.0,58452.0,27139.0,05031
41268.0,41283.0,26806.0,56176.0,40417.0,28695.0,05033
38004.0,56377.0,25553.0,,62016.0,29967.0,05035
38103.0,40965.0,21675.0,,58542.0,,05037
34084.0,41102.0,26775.0,,48304.0,,05039
27197.0,42783.0,17373.0,,,21678.0,05041
32819.0,43676.0,17469.0,,,27736.0,05043
51223.0,55041.0,29229.0,,48721.0,35547.0,05045
39285.0,39541.0,,35364.0,,13778.0,05047
37066.0,36749.0,,21250.0,,21250.0,05049
38733.0,40935.0,21917.0,31300.0,,29423.0,05051
46171.0,46808.0,28711.0,23462.0,,19091.0,05053
41286.0,41224.0,,52578.0,,36301.0,05055
32122.0,37732.0,24145.0,,,20965.0,05057
40000.0,42384.0,22794.0,,,35676.0,05059
34229.0,40757.0,22636.0,,,34861.0,05061
36265.0,36948.0,21810.0,2499.0,,30238.0,05063
32630.0,32718.0,,,,71250.0,05065
31261.0,32459.0,22179.0,,,,05067
36747.0,46712.0,29051.0,,57330.0,23281.0,05069
34139.0,35176.0,12500.0,33333.0,32917.0,30070.0,05071
31194.0,41726.0,18917.0,,,,05073
32379.0,32373.0,,60469.0,,,05075
28393.0,38894.0,19779.0,,,,05077
32580.0,41220.0,20252.0,,,30550.0,05079
