state.x,area_name,all_poverty,m_poverty,f_poverty,FIPS,med_income,med_income_white,med_income_black,med_income_nat_am,med_income_asian,hispanic,m_with,m_without,f_with,f_without,all_with,all_without,county.x,incidence_rate,avg_ann_incidence,county.y,mortality_rate,avg_ann_deaths,recent_trend,popestimate2015,state.y,county,Mortality_Rate_num,Incidence_Rate_num
AK,"Aleutians East Borough, Alaska",553,334,219,02013,61518,72639,31250,54750,62679,51250,876,1317,566,540,1442,1857,"Aleutians East Borough, Alaska(6,10)",*,3 or fewer,"Aleutians East Borough, Alaska<sup>3</sup>",*,*,**,3341,2,13,NA,NA
AK,"Aleutians West Census Area, Alaska",499,273,226,02016,84306,97321,93750,48750,81250,77500,2470,769,1707,564,4177,1333,"Aleutians West Census Area, Alaska(6,10)",*,3 or fewer,"Aleutians West Census Area, Alaska<sup>3</sup>",*,*,**,5702,2,16,NA,NA
AK,"Anchorage Municipality, Alaska",23914,10698,13216,02020,78326,87235,50535,53935,63757,53926,120747,23245,122426,21393,243173,44638,"Anchorage Borough, Alaska(6,10)",61.5,131,"Anchorage Borough, Alaska",47.3,96,falling,298695,2,20,47.3,61.5
AK,"Bethel Census Area, Alaska",4364,2199,2165,02050,51012,92647,73661,41594,110625,160114,6396,2708,6627,1774,13023,4482,"Bethel Census Area, Alaska(6,10)",62.7,6,"Bethel Census Area, Alaska",58.3,5,**,17946,2,50,58.3,62.7
AK,"Bristol Bay Borough, Alaska",69,33,36,02060,79750,88000,NA,63333,NA,25625,419,124,349,67,768,191,"Bristol Bay Borough, Alaska(6,10)",*,3 or fewer,"Bristol Bay Borough, Alaska",*,*,**,892,2,60,NA,NA
AK,"Denali Borough, Alaska",254,139,115,02068,81544,81029,NA,47500,NA,NA,822,253,674,250,1496,503,"Denali, Alaska(6,10)",*,3 or fewer,"Denali, Alaska",*,*,**,1919,2,68,NA,NA
AK,"Dillingham Census Area, Alaska",894,446,448,02070,54173,81161,NA,42212,NA,86458,1678,900,1837,546,3515,1446,"Dillingham Census Area, Alaska(6,10)",*,3 or fewer,"Dillingham Census Area, Alaska<sup>3</sup>",*,*,**,4997,2,70,NA,NA
AK,"Fairbanks North Star Borough, Alaska",7752,3523,4229,02090,71068,74242,56353,48333,56339,55284,40605,6957,40210,5322,80815,12279,"Fairbanks North Star, Alaska(6,10)",58.1,36,"Fairbanks North Star, Alaska",54,31,stable,99631,2,90,54,58.1
AK,"Haines Borough, Alaska",135,74,61,02100,58750,67888,NA,45714,NA,NA,960,422,944,228,1904,650,"Haines Borough, Alaska(6,10)",*,3 or fewer,"Haines Borough, Alaska",*,*,**,2534,2,100,NA,NA
AK,"Juneau City and Borough, Alaska",2110,1145,965,02110,85746,90553,106964,57821,80893,76083,13739,2433,13582,2213,27321,4646,"Juneau Borough, Alaska(6,10)",35.1,9,"Juneau Borough, Alaska",34.4,8,falling,32756,2,110,34.4,35.1
AK,"Kenai Peninsula Borough, Alaska",5558,2596,2962,02122,63684,64663,122660,46458,58125,64148,22391,6435,21668,5433,44059,11868,"Kenai Peninsula Borough, Alaska(6,10)",64.9,39,"Kenai Peninsula Borough, Alaska",50.1,28,falling,58059,2,122,50.1,64.9
AK,"Ketchikan Gateway Borough, Alaska",1640,792,848,02130,64222,73313,NA,45536,45859,83250,5339,1428,5527,1082,10866,2510,"Ketchikan Gateway Borough, Alaska(6,10)",88.3,12,"Ketchikan Gateway Borough, Alaska",70.8,9,**,13709,2,130,70.8,88.3
AK,"Kodiak Island Borough, Alaska",1552,962,590,02150,70887,82857,26827,48179,56585,87000,4941,1920,4943,1479,9884,3399,"Kodiak Island Borough, Alaska(6,10)",74.7,7,"Kodiak Island Borough, Alaska",76.2,6,**,13889,2,150,76.2,74.7
AK,"Lake and Peninsula Borough, Alaska",247,119,128,02164,50781,72500,NA,38482,NA,NA,445,286,513,230,958,516,"Lake and Peninsula Borough, Alaska(6,10)",*,3 or fewer,"Lake and Peninsula Borough, Alaska<sup>3</sup>",*,*,**,1563,2,164,NA,NA
AK,"Matanuska-Susitna Borough, Alaska",9454,4346,5108,02170,72983,74141,55577,56724,53789,77367,39282,9314,37751,8084,77033,17398,"Matanuska-Susitna Borough, Alaska(6,10)",69.7,51,"Matanuska-Susitna Borough, Alaska",53.9,37,stable,101095,2,170,53.9,69.7
AK,"Nome Census Area, Alaska",2592,1399,1193,02180,48868,85455,NA,37277,78056,86607,3506,1605,3430,1114,6936,2719,"Nome Census Area, Alaska(6,10)",103.6,6,"Nome Census Area, Alaska",96.1,6,**,9846,2,180,96.1,103.6
AK,"North Slope Borough, Alaska",976,532,444,02185,72576,86250,107500,59554,126964,88563,4847,1248,2579,910,7426,2158,"North Slope Borough, Alaska(6,10)",153.4,6,"North Slope Borough, Alaska",124.9,5,**,9687,2,185,124.9,153.4
AK,"Northwest Arctic Borough, Alaska",1824,951,873,02188,63648,99444,NA,52227,69375,NA,2690,1455,2542,1021,5232,2476,"Northwest Arctic Borough, Alaska(6,10)",67.6,3,"Northwest Arctic Borough, Alaska",*,*,**,7752,2,188,NA,67.6
AK,"Sitka City and Borough, Alaska",798,424,374,02220,70376,81029,143125,40625,75000,58333,3635,841,3591,692,7226,1533,"Sitka Borough, Alaska(6,10)",44,4,"Sitka Borough, Alaska",39.6,3,**,8863,2,220,39.6,44
AK,"Southeast Fairbanks Census Area, Alaska",1011,507,504,02240,62670,71349,51563,20774,33750,78750,2889,853,2454,666,5343,1519,"Southeast Fairbanks Census Area, Alaska(6,10)",76.8,5,"Southeast Fairbanks Census Area, Alaska",*,*,**,6839,2,240,NA,76.8
AK,"Valdez-Cordova Census Area, Alaska",1029,598,431,02261,78810,82090,NA,45000,105417,NA,3670,1292,3566,884,7236,2176,"Valdez-Cordova Census Area, Alaska(6,10)",66.1,6,"Valdez-Cordova Census Area, Alaska",60.8,4,**,9362,2,261,60.8,66.1
AK,"Yakutat City and Borough, Alaska",35,25,10,02282,72500,76250,NA,45625,127188,NA,289,78,217,59,506,137,"Yakutat City and Borough, Alaska(6,10)",*,3 or fewer,"Yakutat City and Borough, Alaska<sup>3</sup>",*,*,**,613,2,282,NA,NA
