county,fips,Mortality_Rate,Avg_Ann_Deaths,Recent Trend
United States,00000,46,"157,376",falling
"Perry County, Kentucky",21193,125.6,43,stable
"Powell County, Kentucky",21197,125.3,18,stable
"North Slope Borough, Alaska",02185,124.9,5,**
"Owsley County, Kentucky",21189,118.5,8,stable
"Union County, Florida",12125,113.5,19,falling
"McCreary County, Kentucky",21147,111.1,22,rising
"Pemiscot County, Missouri",29155,90.5,19,stable
"Hart County, Kentucky",21099,90.2,21,stable
"Nicholas County, Kentucky",21181,89.6,8,stable
"Henry County, Kentucky",21103,89.3,17,stable
"Rockcastle County, Kentucky",21203,89.2,19,stable
"Upton County, Texas",48461,89.1,3,**
"Benton County, Tennessee",47005,89,22,stable
"Fulton County, Kentucky",21075,88.9,9,stable
"Lake County, Tennessee",47095,88.9,8,stable
"Caldwell County, Kentucky",21033,88,16,stable
"Grayson County, Kentucky",21085,87.9,28,rising
"Wayne County, Missouri",29223,87.9,19,stable
"Madison County, Mississippi",28089,87.4,78,falling
"Quitman County, Georgia",13239,87.2,4,**
"Meade County, Kentucky",21163,87,24,stable
"Campbell County, Tennessee",47013,86.8,49,stable
"Mason County, Kentucky",21161,86.6,19,stable
"Sequatchie County, Tennessee",47153,86.6,16,rising
"McDowell County, West Virginia",54047,86.6,26,stable
"Knott County, Kentucky",21119,85.9,17,stable
"Knox County, Kentucky",21121,85.9,33,stable
"Lee County, Virginia",51105,85.9,28,stable
"Pike County, Kentucky",21195,85.4,67,stable
"Lawrence County, Kentucky",21127,85.1,16,stable
"Overton County, Tennessee",47133,84.8,26,stable
"Lee County, Mississippi",28081,84.5,77,rising
"New Madrid County, Missouri",29143,84.5,21,stable
"Monroe County, Kentucky",21171,84.3,12,stable
"Buena Vista City, Virginia",51530,84.3,6,stable
"Claiborne County, Tennessee",47025,84.2,36,stable
"Liberty County, Florida",12077,84.1,7,stable
"Russell County, Kentucky",21207,84.1,21,stable
"Madison County, Missouri",29123,98.5,17,stable
"Mississippi County, Missouri",29133,97.2,17,stable
"Clay County, Kentucky",21051,96.5,22,stable
"Nome Census Area, Alaska",02180,96.1,6,**
"Letcher County, Kentucky",21133,96.1,29,stable
"Whitley County, Kentucky",21235,95.6,39,stable
"Harlan County, Kentucky",21095,95.3,34,stable
"Logan County, West Virginia",54045,95.1,45,falling
"Scott County, Tennessee",47151,94.9,24,stable
"Ohio County, Kentucky",21183,94.6,28,stable
"Bracken County, Kentucky",21023,92.7,9,stable
"Johnson County, Kentucky",21115,92.5,27,stable
"Carter County, Missouri",29035,92.3,8,stable
"Trimble County, Kentucky",21223,91.9,9,stable
"Phillips County, Arkansas",05107,90.8,23,stable
"Lee County, Kentucky",21129,90.8,9,stable
"Leslie County, Kentucky",21131,110.3,16,stable
"Martin County, Kentucky",21159,109.1,14,stable
"Menifee County, Kentucky",21165,106,9,stable
