POPESTIMATE2015,STATE,COUNTY,FIPS
4858979,1,0,01000
55347,1,1,01001
203709,1,3,01003
26489,1,5,01005
22583,1,7,01007
57673,1,9,01009
10696,1,11,01011
15018,1,29,01029
51211,1,31,01031
54354,1,33,01033
12672,1,35,01035
10724,1,37,01037
37835,1,39,01039
13963,1,41,01041
82005,1,43,01043
49565,1,45,01045
41131,1,47,01047
71130,1,49,01049
81468,1,51,01051
37789,1,53,01053
103057,1,55,01055
16759,1,57,01057
31696,1,59,01059
26777,1,61,01061
8479,1,63,01063
15068,1,65,01065
17221,1,67,01067
104173,1,69,01069
52419,1,71,01071
660367,1,73,01073
13886,1,75,01075
92596,1,77,01077
33115,1,79,01079
156993,1,81,01081
91663,1,83,01083
10458,1,85,01085
19105,1,87,01087
353089,1,89,01089
20028,1,91,01091
30168,1,93,01093
94725,1,95,01095
415395,1,97,01097
21673,1,99,01099
226519,1,101,01101
119565,1,103,01103
9652,1,105,01105
20864,1,107,01107
33046,1,109,01109
22696,1,111,01111
59660,1,113,01113
87074,1,115,01115
208713,1,117,01117
13103,1,119,01119
80862,1,121,01121
40844,1,123,01123
20154,1,13,01013
115620,1,15,01015
34123,1,17,01017
25859,1,19,01019
43943,1,21,01021
13170,1,23,01023
24675,1,25,01025
13555,1,27,01027
5830,8,11,08011
319372,8,13,08013
65065,8,14,08014
18658,8,15,08015
1829,8,17,08017
9303,8,19,08019
8130,8,21,08021
3584,8,23,08023
5562,8,25,08025
4445,8,27,08027
29979,8,29,08029
682545,8,31,08031
1978,8,33,08033
322387,8,35,08035
53605,8,37,08037
24735,8,39,08039
674471,8,41,08041
46692,8,43,08043
58095,8,45,08045
5828,8,47,08047
14615,8,49,08049
16067,8,51,08051
774,8,53,08053
6492,8,55,08055
1356,8,57,08057
565524,8,59,08059
1423,8,61,08061
7758,8,63,08063
7485,8,65,08065
54688,8,67,08067
333577,8,69,08069
14058,8,71,08071
5557,8,73,08073
22036,8,75,08075
148513,8,77,08077
726,8,79,08079
12937,8,81,08081
26168,8,83,08083
40946,8,85,08085
28360,8,87,08087
18343,8,89,08089
4691,8,91,08091
