State,AreaName,All_Poverty,M_Poverty,F_Poverty,FIPS
AK,"Aleutians East Borough, Alaska",553,334,219,02013
AK,"Aleutians West Census Area, Alaska",499,273,226,02016
AK,"Anchorage Municipality, Alaska",23914,10698,13216,02020
AK,"Bethel Census Area, Alaska",4364,2199,2165,02050
AK,"Bristol Bay Borough, Alaska",69,33,36,02060
AK,"Denali Borough, Alaska",254,139,115,02068
AK,"Dillingham Census Area, Alaska",894,446,448,02070
AK,"Fairbanks North Star Borough, Alaska",7752,3523,4229,02090
AK,"Haines Borough, Alaska",135,74,61,02100
AK,"Hoonah-Angoon Census Area, Alaska",252,102,150,02105
AK,"Juneau City and Borough, Alaska",2110,1145,965,02110
AK,"Kenai Peninsula Borough, Alaska",5558,2596,2962,02122
AK,"Ketchikan Gateway Borough, Alaska",1640,792,848,02130
AK,"Kodiak Island Borough, Alaska",1552,962,590,02150
AK,"Kusilvak Census Area, Alaska",2622,1290,1332,02158
AK,"Lake and Peninsula Borough, Alaska",247,119,128,02164
AK,"Matanuska-Susitna Borough, Alaska",9454,4346,5108,02170
AK,"Nome Census Area, Alaska",2592,1399,1193,02180
AK,"North Slope Borough, Alaska",976,532,444,02185
AK,"Northwest Arctic Borough, Alaska",1824,951,873,02188
AK,"Petersburg Borough, Alaska",327,174,153,02195
AK,"Prince of Wales-Hyder Census Area, Alaska",921,475,446,02198
AK,"Sitka City and Borough, Alaska",798,424,374,02220
AK,"Skagway Municipality, Alaska",44,16,28,02230
AK,"Southeast Fairbanks Census Area, Alaska",1011,507,504,02240
AK,"Valdez-Cordova Census Area, Alaska",1029,598,431,02261
AK,"Wrangell City and Borough, Alaska",279,153,126,02275
AK,"Yakutat City and Borough, Alaska",35,25,10,02282
AK,"Yukon-Koyukuk Census Area, Alaska",1252,666,586,02290
AL,"Autauga County, Alabama",7057,2983,4074,01001
AL,"Baldwin County, Alabama",25798,12018,13780,01003
AL,"Barbour County, Alabama",6421,2856,3565,01005
AL,"Bibb County, Alabama",3488,1495,1993,01007
AL,"Blount County, Alabama",9552,4593,4959,01009
AL,"Bullock County, Alabama",2486,981,1505,01011
AL,"Butler County, Alabama",5094,2073,3021,01013
AL,"Calhoun County, Alabama",23325,9500,13825,01015
AL,"Chambers County, Alabama",7273,3091,4182,01017
AL,"Cherokee County, Alabama",4918,2421,2497,01019
AL,"Chilton County, Alabama",8288,3871,4417,01021
AL,"Choctaw County, Alabama",3093,1206,1887,01023
AL,"Clarke County, Alabama",6107,2495,3612,01025
AL,"Clay County, Alabama",2201,902,1299,01027
AL,"Cleburne County, Alabama",2508,1069,1439,01029
AL,"Coffee County, Alabama",8581,3867,4714,01031
AL,"Colbert County, Alabama",9406,4124,5282,01033
AL,"Conecuh County, Alabama",4320,2011,2309,01035
AL,"Coosa County, Alabama",2073,961,1112,01037
AL,"Covington County, Alabama",7515,3263,4252,01039
AL,"Crenshaw County, Alabama",2288,1068,1220,01041
AL,"Cullman County, Alabama",14814,6760,8054,01043
AL,"Dale County, Alabama",9306,4092,5214,01045
